Postal Code,Project Name,Planning Region,Planning Area,Market segment,Property Type,Postal District,Tenure Group,Latitude,Longitude,MRT Distance (km),School Distance (km),Top School Distance (km),Top School 1km,Top School 2km
278551,FAIRLODGE,Central Region,Bukit Timah,CCR,Apartment,10,Freehold,1.311788084458451,103.8014941666984,0.5883,0.4698,0.4698,1.0,1.0
238509,PATERSON LINC,Central Region,River Valley,CCR,Apartment,9,Freehold,1.303194524436487,103.8299849063886,0.2665,1.1864,1.1864,0.0,1.0
678184,THE LINEAR,West Region,Bukit Panjang,OCR,Apartment,23,999-yr,1.375394616535323,103.7628464229605,0.3133,0.3667,6.3105,0.0,0.0
399182,SUNFLOWER COURT,Central Region,Geylang,RCR,Apartment,14,Freehold,1.310649277926699,103.876402171482,0.5648,0.5791,1.3295,0.0,1.0
669565,HILLINGTON GREEN,West Region,Bukit Batok,OCR,Condominium,23,999-yr,1.35859905905299,103.7650329220947,0.5011,2.2456,4.5165,0.0,0.0
098748,THE FORESTA @ MOUNT FABER,Central Region,Bukit Merah,RCR,Condominium,4,Freehold,1.270350255097288,103.8139673197718,0.4772,0.3826,2.1728,0.0,0.0
579978,FABER GARDEN CONDOMINIUM,Central Region,Bishan,RCR,Condominium,20,Freehold,1.361943047326528,103.8301834111551,0.3056,1.5185,2.3357,0.0,0.0
534079,THE MINTON,North East Region,Hougang,OCR,Condominium,19,99-yr,1.352190503499741,103.8819634839263,0.9662,0.7748,1.3829,0.0,1.0
399764,CASSIA EDGE,Central Region,Geylang,RCR,Apartment,14,Freehold,1.311574249125497,103.8858281181656,0.4602,0.829,0.9091,1.0,1.0
458656,EAST SIGNATURE,East Region,Bedok,OCR,Apartment,15,Freehold,1.312255052661998,103.9317723266841,1.3189,0.7299,2.62,0.0,0.0
417454,STARVILLE,East Region,Bedok,OCR,Condominium,14,Freehold,1.327739372257176,103.9112724539843,0.7679,1.3657,1.7628,0.0,1.0
459108,THE DOMAIN,East Region,Bedok,OCR,Apartment,15,Freehold,1.312059282089518,103.924449849436,1.4611,1.205,1.9073,0.0,1.0
258201,JADE GARDEN,Central Region,Tanglin,CCR,Apartment,10,Freehold,1.317570404761822,103.8282005541873,0.3745,0.5353,0.5353,1.0,1.0
469360,COUNTRY PARK CONDOMINIUM,East Region,Bedok,OCR,Condominium,16,Freehold,1.321174644423093,103.9547874631134,1.152,1.0832,3.6077,0.0,0.0
259987,NOUVEL 18,Central Region,Newton,CCR,Condominium,10,Freehold,1.310839453620271,103.8283253674611,0.8787,1.0115,1.0115,0.0,1.0
449529,MARINE MEADOWS,Central Region,Marine Parade,RCR,Apartment,15,Freehold,1.305005512838807,103.9065292278237,1.6833,0.1679,0.2399,1.0,1.0
219606,CARLYX GREEN,Central Region,Kallang,RCR,Apartment,8,Freehold,1.313180918154042,103.8478058164169,0.7108,1.6425,1.6425,0.0,1.0
768452,ORCHID PARK CONDOMINIUM,North Region,Yishun,OCR,Condominium,27,99-yr,1.412850344435067,103.8347937072386,0.5425,1.4158,4.9439,0.0,0.0
126829,VARSITY PARK CONDOMINIUM,West Region,Clementi,OCR,Condominium,5,99-yr,1.295298296727281,103.7674357048956,1.8968,1.1957,1.1957,0.0,1.0
596116,FORETT@BUKIT TIMAH,Central Region,Bukit Timah,RCR,Apartment,21,Freehold,1.340342055495705,103.7691685424717,0.7436,2.2264,2.4695,0.0,0.0
358178,SOMMERVILLE LOFT,North East Region,Serangoon,OCR,Apartment,13,Freehold,1.343669588754383,103.8697898274224,0.5008,0.327,0.327,1.0,1.0
308608,NOVENA COURT,Central Region,Novena,CCR,Apartment,11,Freehold,1.322615976939068,103.8419765091808,0.3178,1.0348,1.0348,0.0,1.0
437154,EASTSIDE LOFT,Central Region,Geylang,RCR,Apartment,15,Freehold,1.310695209291133,103.8938299135307,0.6638,0.4655,1.4492,0.0,1.0
427286,VERDOR RESIDENCES,Central Region,Geylang,RCR,Apartment,15,Freehold,1.314634957761394,103.9036049092481,0.5736,0.4005,1.1755,0.0,1.0
359966,E MAISON,North East Region,Serangoon,OCR,Apartment,13,Freehold,1.343282866704713,103.8692173443389,0.4825,0.3495,0.3495,1.0,1.0
127718,THE INFINITI,West Region,Clementi,OCR,Condominium,5,Freehold,1.319017673072813,103.7553887076215,1.1683,1.0881,1.4741,0.0,1.0
248196,STUDIO 3,Central Region,Tanglin,CCR,Apartment,10,Freehold,1.295709937133355,103.8275683872831,1.0566,0.3391,0.3391,1.0,1.0
098017,CORALS AT KEPPEL BAY,Central Region,Bukit Merah,RCR,Condominium,4,99-yr,1.265161588382225,103.8161006264352,0.4972,0.6217,2.7961,0.0,0.0
519952,STRATUM,East Region,Pasir Ris,OCR,Condominium,18,99-yr,1.379841653971425,103.9427444531005,1.0487,0.1828,3.0366,0.0,0.0
289213,HILLCREST PARK,Central Region,Bukit Timah,CCR,Apartment,11,Freehold,1.331447430197184,103.8068407793746,0.6861,0.7301,0.7301,1.0,1.0
249095,MON JERVOIS,Central Region,Tanglin,CCR,Condominium,10,99-yr,1.294049380847932,103.8222001110487,0.781,0.6685,0.6685,1.0,1.0
259715,FERRELL RESIDENCES,Central Region,Tanglin,CCR,Apartment,10,Freehold,1.317699237096512,103.8323402248785,0.7256,0.1736,0.1736,1.0,1.0
589771,THE RESERVE RESIDENCES,Central Region,Bukit Timah,RCR,Apartment,21,99-yr,1.340289658553817,103.7780063750262,0.2786,2.6748,2.6748,0.0,0.0
239114,LLOYD SIXTYFIVE,Central Region,River Valley,CCR,Apartment,9,Freehold,1.297272946610454,103.838940257017,0.3326,1.3121,1.3121,0.0,1.0
437898,HAWAII TOWER,Central Region,Marine Parade,RCR,Condominium,15,Freehold,1.296803808521273,103.8899259447603,1.2901,1.1854,2.2892,0.0,0.0
439895,THE SHORE RESIDENCES,Central Region,Marine Parade,RCR,Condominium,15,Other,1.303060712253713,103.9016869741773,1.5919,0.5546,0.8159,1.0,1.0
117452,WEST-N,Central Region,Queenstown,RCR,Apartment,5,Freehold,1.282247016218981,103.7834535627716,0.1768,2.2784,2.7539,0.0,0.0
424366,ONE @ PULASAN,Central Region,Marine Parade,RCR,Apartment,15,Freehold,1.312429602154977,103.9060887191089,0.8769,0.4376,0.8375,1.0,1.0
