Postal Code,Lat,Lon
148957,1.292674,103.806663
259404,1.310501,103.832279
769328,1.44057,103.827221
768097,1.438418,103.832056
533819,1.371536,103.900063
538865,1.367053,103.886076
507026,1.35881,103.962753
797415,1.396041,103.874555
828681,1.399508,103.912564
737940,1.431445,103.786998
688213,1.376502,103.749709
329137,1.32761,103.847606
117325,1.281329,103.790677
309979,1.324347,103.848402
239949,1.291884,103.838946
189350,1.299163,103.85786
267953,1.314422,103.803913
018979,1.277224,103.853695
276750,1.308441,103.801929
426608,1.315626,103.900456
544589,1.392917,103.88427
533813,1.370171,103.899999
469657,1.324968,103.932366
648317,1.343093,103.717865
425259,1.311125,103.916557
518131,1.369501,103.94622
828744,1.392173,103.913895
534034,1.378033,103.902481
737793,1.427626,103.785755
677721,1.389346,103.770295
554338,1.36594,103.872779
596722,1.338857,103.767252
368055,1.340689,103.880559
348271,1.332997,103.869983
159018,1.292755,103.819856
408966,1.318446,103.903431
229658,1.304774,103.837432
469599,1.326659,103.948163
575575,1.36401,103.831824
158745,1.290031,103.817185
438073,1.300133,103.888768
598581,1.340561,103.774176
479990,1.343544,103.939011
619603,1.334308,103.725441
059828,1.288001,103.843454
619601,1.334308,103.725441
139819,1.293406,103.795159
169564,1.29157,103.833142
509904,1.357096,103.965502
129964,1.308512,103.767086
544627,1.396647,103.893642
544628,1.396757,103.893462
544917,1.361316,103.885005
767999,1.445446,103.827755
689883,1.383363,103.749639
688199,1.373954,103.739421
528592,1.351666,103.928166
518088,1.377223,103.958846
465536,1.328527,103.945542
544571,1.384102,103.892706
538750,1.353044,103.878235
609781,1.343793,103.732835
518172,1.369722,103.944974
544701,1.389257,103.895258
648146,1.352095,103.696365
238113,1.297936,103.836438
286655,1.327906,103.811986
276306,1.33306,103.789778
079907,1.273188,103.843693
309101,1.319312,103.840119
248744,1.294562,103.827369
448908,1.307406,103.923482
129633,1.307556,103.767613
544653,1.399468,103.890705
575743,1.352031,103.839456
439853,1.29963,103.898114
596131,1.338636,103.770323
573893,1.357808,103.830274
408973,1.31819,103.902208
579653,1.359659,103.832692
596289,1.33522,103.781841
368063,1.341091,103.881458
218815,1.3156,103.851787
387390,1.319835,103.880627
387389,1.319532,103.880542
148962,1.29115,103.804574
598662,1.346894,103.767861
138678,1.303716,103.783859
098403,1.26773,103.814113
328704,1.327987,103.862541
465417,1.327667,103.944746
767996,1.418126,103.845416
534027,1.379244,103.902383
768105,1.41692,103.847444
368062,1.341328,103.881289
426641,1.315596,103.900194
329426,1.328607,103.843283
128827,1.316402,103.759618
436839,1.310997,103.89572
158749,1.290951,103.817
329714,1.322133,103.8532
439836,1.299556,103.888308
219333,1.31574,103.854655
169905,1.281861,103.830562
138687,1.306094,103.784346
428769,1.303357,103.904686
079718,1.274644,103.844742
249628,1.301996,103.824015
239637,1.294771,103.833209
249510,1.307575,103.802891
309462,1.315682,103.84588
307989,1.314294,103.841151
298127,1.327091,103.841979
307605,1.318059,103.844682
591401,1.318373,103.774344
436593,1.300905,103.881931
387386,1.31919,103.881381
148960,1.292055,103.805546
677672,1.378429,103.763427
677615,1.366375,103.775082
544588,1.392396,103.884188
667982,1.36479,103.764169
508830,1.376114,103.956833
469988,1.311346,103.938608
569418,1.369162,103.833322
534203,1.371919,103.901302
126751,1.320031,103.75401
648145,1.351898,103.696215
737811,1.430044,103.78389
417392,1.329014,103.914401
768100,1.438123,103.831225
689874,1.383402,103.748374
828841,1.406937,103.902908
648159,1.345599,103.724023
545084,1.390868,103.904189
528511,1.35364,103.929081
756985,1.442696,103.818621
529414,1.366848,103.937776
788982,1.396012,103.817563
619614,1.336552,103.725597
129632,1.307556,103.767613
